Song_ID,Title,Artist,Danceability,Energy,Tempo,Genre
S0470,Song 470,Artist 95,0.47,0.81,134,Electronic
S0471,Song 471,Artist 40,0.8,0.68,63,Pop
S0472,Song 472,Artist 30,0.98,0.61,199,Classical
S0473,Song 473,Artist 30,0.45,0.45,72,Classical
S0474,Song 474,Artist 22,0.44,0.93,47,Classical
S0475,Song 475,Artist 15,0.67,0.84,198,Country
S0476,Song 476,Artist 28,0.97,0.65,63,Pop
S0477,Song 477,Artist 25,0.4,0.48,73,Rock
S0478,Song 478,Artist 80,0.77,0.63,77,Country
S0479,Song 479,Artist 4,0.62,0.78,40,Electronic
S0480,Song 480,Artist 94,0.47,0.37,56,Pop
S0481,Song 481,Artist 97,0.82,0.87,175,Pop
S0482,Song 482,Artist 100,0.98,0.83,125,Hip-Hop
S0483,Song 483,Artist 31,0.58,0.59,137,Classical
S0484,Song 484,Artist 40,0.71,0.54,189,Jazz
S0485,Song 485,Artist 37,0.58,0.4,69,Electronic
S0486,Song 486,Artist 86,0.66,0.5,139,Rock
S0487,Song 487,Artist 93,0.8,0.47,46,Country
S0488,Song 488,Artist 44,0.89,0.35,151,Electronic
S0489,Song 489,Artist 36,0.72,0.71,156,Country
S0490,Song 490,Artist 76,0.83,0.95,77,Rock
S0491,Song 491,Artist 2,0.95,0.63,159,Pop
S0492,Song 492,Artist 25,0.63,0.79,60,Electronic
S0493,Song 493,Artist 70,0.74,0.72,84,Country
S0494,Song 494,Artist 2,0.99,0.88,100,Pop
S0495,Song 495,Artist 96,0.74,0.34,157,Jazz
S0496,Song 496,Artist 39,0.54,0.94,100,Pop
S0497,Song 497,Artist 100,0.73,0.56,138,Classical
S0498,Song 498,Artist 33,0.73,0.74,122,Rock
S0499,Song 499,Artist 90,0.94,0.93,62,Jazz
S0500,Song 500,Artist 61,0.79,0.77,160,Classical
